date,Mkt-RF,SMB,HML,RF
1926-07-31,0.028900000000000002,-0.0255,-0.0239,0.0022
1926-08-31,0.0264,-0.011399999999999999,0.0381,0.0025
1926-09-30,0.0038,-0.013600000000000001,0.0005,0.0023
1926-10-31,-0.0327,-0.0014000000000000002,0.008199999999999999,0.0032
1926-11-30,0.0254,-0.0011,-0.0060999999999999995,0.0031
1926-12-31,0.0262,-0.0007000000000000001,0.0006,0.0028000000000000004
1927-01-31,-0.0005,-0.0032,0.0458,0.0025
1927-02-28,0.0417,0.0007000000000000001,0.027200000000000002,0.0026
1927-03-31,0.0014000000000000002,-0.0177,-0.023799999999999998,0.003
1927-04-30,0.004699999999999999,0.0039000000000000003,0.006500000000000001,0.0025
1927-05-31,0.0545,0.0155,0.048,0.003
1927-06-30,-0.023799999999999998,0.0051,-0.0172,0.0026
1927-07-31,0.0726,-0.0327,-0.0113,0.003
1927-08-31,0.0199,-0.0077,-0.0385,0.0028000000000000004
1927-09-30,0.04769999999999999,-0.036000000000000004,-0.005699999999999999,0.0021
1927-10-31,-0.0429,0.0203,-0.0447,0.0025
1927-11-30,0.0652,0.0278,-0.0008,0.0021
1927-12-31,0.0209,0.0098,-0.011200000000000002,0.0022
1928-01-31,-0.005699999999999999,0.042,-0.0070999999999999995,0.0025
1928-02-29,-0.0169,-0.0206,-0.0064,0.0033
1928-03-31,0.08789999999999999,-0.0038,-0.0111,0.0029
1928-04-30,0.0425,0.0414,0.0325,0.0022
1928-05-31,0.0152,0.027000000000000003,-0.03,0.0032
1928-06-30,-0.049,-0.037599999999999995,0.0028000000000000004,0.0031
1928-07-31,0.0063,-0.013600000000000001,-0.0054,0.0032
1928-08-31,0.0669,-0.0204,-0.0213,0.0032
1928-09-30,0.0287,0.024,0.0084,0.0027
1928-10-31,0.0131,0.022400000000000003,-0.021400000000000002,0.0040999999999999995
1928-11-30,0.1182,-0.0182,0.0265,0.0038
1928-12-31,0.004,-0.009300000000000001,-0.0052,0.0006
1929-01-31,0.0466,-0.0335,-0.012199999999999999,0.0034000000000000002
1929-02-28,-0.0034000000000000002,-0.0033,0.0166,0.0036
1929-03-31,-0.0085,-0.049100000000000005,0.015700000000000002,0.0034000000000000002
1929-04-30,0.0147,-0.011200000000000002,0.009300000000000001,0.0036
1929-05-31,-0.0638,-0.054400000000000004,-0.0152,0.0044
1929-06-30,0.09699999999999999,-0.021400000000000002,-0.0274,0.0052
1929-07-31,0.044800000000000006,-0.0387,0.026699999999999998,0.0033
1929-08-31,0.0814,-0.0975,0.0032,0.004
1929-09-30,-0.0545,0.0134,-0.0079,0.0034999999999999996
1929-10-31,-0.2007,-0.0495,0.0754,0.0046
1929-11-30,-0.12869999999999998,-0.0088,0.050499999999999996,0.0037
1929-12-31,0.0128,-0.040999999999999995,-0.0014000000000000002,0.0037
1930-01-31,0.056100000000000004,0.0349,-0.0103,0.0014000000000000002
1930-02-28,0.025,0.0028000000000000004,0.0028000000000000004,0.003
1930-03-31,0.0709,0.0339,0.003,0.0034999999999999996
1930-04-30,-0.020499999999999997,-0.0034999999999999996,-0.0037,0.0021
1930-05-31,-0.0166,-0.021,-0.0074,0.0026
1930-06-30,-0.16079999999999997,-0.0359,0.024,0.0027
1930-07-31,0.0412,-0.0027,-0.017,0.002
1930-08-31,0.003,-0.0216,-0.0059,0.0009
1930-09-30,-0.1281,-0.0241,-0.0509,0.0022
1930-10-31,-0.08779999999999999,-0.002,-0.0109,0.0009
1930-11-30,-0.0304,0.0246,-0.0381,0.0013
1930-12-31,-0.0786,-0.0467,-0.056900000000000006,0.0014000000000000002
1931-01-31,0.0625,0.0347,0.0824,0.0015
1931-02-28,0.10880000000000001,0.0345,0.0163,0.0004
1931-03-31,-0.0635,0.028300000000000002,-0.032,0.0013
1931-04-30,-0.1,-0.042199999999999994,-0.0433,0.0008
1931-05-31,-0.1329,0.052199999999999996,-0.06309999999999999,0.0009
1931-06-30,0.1393,-0.0501,0.11699999999999999,0.0008
1931-07-31,-0.0663,0.0149,-0.022000000000000002,0.0006
1931-08-31,0.004,-0.0208,-0.017,0.0003
1931-09-30,-0.2874,-0.0102,-0.0724,0.0003
1931-10-31,0.0799,-0.0028000000000000004,0.031200000000000002,0.001
1931-11-30,-0.09140000000000001,0.044000000000000004,-0.0519,0.0017000000000000001
1931-12-31,-0.1352,-0.0087,-0.0919,0.0012
1932-01-31,-0.015700000000000002,0.0441,0.0974,0.0023
1932-02-29,0.0545,-0.025099999999999997,-0.0147,0.0023
1932-03-31,-0.113,0.0213,-0.022000000000000002,0.0016
1932-04-30,-0.1794,0.009300000000000001,0.0207,0.0011
1932-05-31,-0.2051,0.0421,-0.0408,0.0006
1932-06-30,-0.0077,0.004,0.058499999999999996,0.0002
1932-07-31,0.3361,-0.0429,0.3552,0.0002
1932-08-31,0.3712,0.1346,0.342,0.0003
1932-09-30,-0.0294,-0.0215,-0.0737,0.0003
1932-10-31,-0.1315,-0.0259,-0.1047,0.0002
1932-11-30,-0.0588,0.0183,-0.1319,0.0002
1932-12-31,0.044199999999999996,-0.083,-0.0754,0.0001
1933-01-31,0.0124,0.0073,0.0646,0.0001
1933-02-28,-0.15289999999999998,-0.0263,-0.0292,-0.0003
1933-03-31,0.030600000000000002,0.036000000000000004,0.0709,0.0004
1933-04-30,0.3881,0.0302,0.201,0.001
1933-05-31,0.2143,0.35960000000000003,0.1866,0.0004
1933-06-30,0.131,0.08650000000000001,-0.016399999999999998,0.0002
1933-07-31,-0.0964,-0.0106,0.033,0.0002
1933-08-31,0.1204,-0.0516,0.0305,0.0003
1933-09-30,-0.1065,-0.0058,-0.11710000000000001,0.0002
1933-10-31,-0.0836,-0.0007000000000000001,-0.0849,0.0001
1933-11-30,0.09970000000000001,-0.0637,0.0227,0.0002
1933-12-31,0.0182,0.0036,-0.0199,0.0002
1934-01-31,0.126,0.1321,0.162,0.0005
1934-02-28,-0.025099999999999997,0.050499999999999996,0.018600000000000002,0.0002
1934-03-31,0.0009,0.0245,-0.0259,0.0002
1934-04-30,-0.0179,0.0273,-0.0383,0.0001
1934-05-31,-0.0726,-0.0031,-0.059000000000000004,0.0001
